alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Airfoil,CL/CD
0.0,0.4228,0.01038,0.00285,-0.0406,0.3122,0.0403,airfoil_0872,40.73217726396917
1.0,0.5363,0.01034,0.00274,-0.0401,0.2999,0.0498,airfoil_0872,51.866537717601545
2.0,0.6493,0.01039,0.00278,-0.0397,0.2876,0.071,airfoil_0872,62.49278152069297
3.0,0.7634,0.01046,0.00295,-0.0396,0.2786,0.1088,airfoil_0872,72.98279158699808
4.0,0.9064,0.00906,0.00356,-0.0463,0.2679,0.9999,airfoil_0872,100.04415011037527
5.0,1.0054,0.00956,0.00395,-0.0434,0.2576,0.9999,airfoil_0872,105.1673640167364
6.0,1.1072,0.01008,0.00447,-0.0411,0.2489,0.9999,airfoil_0872,109.84126984126983
7.0,1.2105,0.01077,0.00513,-0.0395,0.2382,0.9999,airfoil_0872,112.39554317548746
8.0,1.3151,0.0115,0.00588,-0.0383,0.2279,0.9999,airfoil_0872,114.35652173913043
9.0,1.4192,0.01229,0.00674,-0.0373,0.2169,0.9999,airfoil_0872,115.4759967453214
10.0,1.5196,0.01328,0.00784,-0.0358,0.2067,0.9999,airfoil_0872,114.4277108433735
11.0,1.6144,0.01452,0.00918,-0.0337,0.1961,0.9999,airfoil_0872,111.18457300275483
12.0,1.7024,0.01595,0.01073,-0.0307,0.1838,0.9999,airfoil_0872,106.73354231974922
13.0,1.7802,0.01745,0.01239,-0.0264,0.1669,0.9999,airfoil_0872,102.01719197707736
14.0,1.8418,0.01993,0.01503,-0.021,0.1506,0.9999,airfoil_0872,92.41344706472655
15.0,1.882,0.02425,0.01951,-0.0155,0.1295,0.9999,airfoil_0872,77.6082474226804
-5.0,-0.2814,0.00887,0.00351,-0.0739,0.9802,0.0257,airfoil_0870,-31.724915445321308
-4.0,-0.1485,0.0077,0.00239,-0.0783,0.9738,0.0558,airfoil_0870,-19.285714285714285
-3.0,-0.0277,0.00656,0.00162,-0.0799,0.9581,0.1658,airfoil_0870,-4.222560975609756
-2.0,0.0824,0.00556,0.00122,-0.0792,0.9376,0.3589,airfoil_0870,14.820143884892087
-1.0,0.1932,0.00492,0.00103,-0.0785,0.9128,0.5331,airfoil_0870,39.268292682926834
0.0,0.3034,0.00454,0.00096,-0.0773,0.8745,0.6745,airfoil_0870,66.82819383259913
1.0,0.4055,0.00406,0.00102,-0.074,0.8069,0.9026,airfoil_0870,99.8768472906404
2.0,0.5143,0.00501,0.0012,-0.0726,0.5892,0.9999,airfoil_0870,102.65469061876247
3.0,0.6144,0.00668,0.00182,-0.0703,0.3298,0.9999,airfoil_0870,91.9760479041916
4.0,0.7129,0.00885,0.00287,-0.0681,0.079,0.9999,airfoil_0870,80.55367231638418
5.0,0.8179,0.01024,0.00404,-0.0664,0.0262,0.9999,airfoil_0870,79.87304687499999
6.0,0.921,0.01188,0.00576,-0.0642,0.0161,0.9999,airfoil_0870,77.52525252525253
7.0,1.0187,0.0142,0.00834,-0.0611,0.013,0.9999,airfoil_0870,71.7394366197183
8.0,1.1087,0.01753,0.01196,-0.0569,0.011,0.9999,airfoil_0870,63.24586423274387
9.0,1.1899,0.0225,0.01755,-0.0515,0.0095,0.9999,airfoil_0870,52.88444444444445
10.0,1.2546,0.02888,0.0247,-0.0446,0.0084,0.9999,airfoil_0870,43.44182825484764
11.0,1.2039,0.0241,0.02075,-0.0239,0.0078,0.9999,airfoil_0870,49.954356846473026
12.0,1.1826,0.05482,0.05246,-0.0224,0.0072,0.9999,airfoil_0870,21.572418825246263
-5.0,-0.2625,0.00826,0.00297,-0.0756,0.8572,0.2258,airfoil_0876,-31.779661016949152
-4.0,-0.1486,0.00774,0.00253,-0.0753,0.831,0.2717,airfoil_0876,-19.198966408268735
-3.0,-0.0352,0.00732,0.00221,-0.0748,0.798,0.323,airfoil_0876,-4.808743169398907
-1.0,0.1877,0.00701,0.00189,-0.073,0.6954,0.4273,airfoil_0876,26.776034236804566
0.0,0.2954,0.00714,0.00194,-0.0713,0.6271,0.4844,airfoil_0876,41.372549019607845
1.0,0.4023,0.0074,0.00211,-0.0695,0.5603,0.5387,airfoil_0876,54.36486486486486
2.0,0.5083,0.00774,0.0024,-0.0677,0.4983,0.599,airfoil_0876,65.67183462532299
3.0,0.6138,0.00819,0.00277,-0.0657,0.4394,0.6508,airfoil_0876,74.94505494505495
4.0,0.7166,0.00872,0.00325,-0.0633,0.3814,0.7065,airfoil_0876,82.1788990825688
5.0,0.8155,0.00928,0.00387,-0.0602,0.3266,0.7917,airfoil_0876,87.8771551724138
6.0,0.9007,0.00991,0.00469,-0.0539,0.2737,0.9305,airfoil_0876,90.8879919273461
7.0,1.0074,0.01107,0.00566,-0.053,0.2253,0.9998,airfoil_0876,91.00271002710028
8.0,1.0881,0.01233,0.00672,-0.047,0.1836,0.9998,airfoil_0876,88.24817518248176
9.0,1.1662,0.014,0.00818,-0.0413,0.144,0.9998,airfoil_0876,83.3
10.0,1.2399,0.01602,0.01005,-0.0354,0.1141,0.9998,airfoil_0876,77.39700374531836
11.0,1.3102,0.01834,0.01232,-0.0296,0.0945,0.9998,airfoil_0876,71.43947655398038
12.0,1.3735,0.02122,0.01519,-0.0238,0.0805,0.9998,airfoil_0876,64.72667295004713
13.0,1.4311,0.02469,0.01875,-0.0183,0.0705,0.9998,airfoil_0876,57.96273795058728
14.0,1.4799,0.02909,0.02326,-0.0131,0.0625,0.9998,airfoil_0876,50.87315228600894
15.0,1.5178,0.03488,0.02919,-0.0087,0.0557,0.9998,airfoil_0876,43.51490825688073
-5.0,-0.3428,0.01042,0.00523,-0.0393,0.9846,0.0205,airfoil_0878,-32.898272552783105
-4.0,-0.2176,0.00857,0.00322,-0.0414,0.954,0.025,airfoil_0878,-25.390898483080512
-3.0,-0.1084,0.00767,0.00214,-0.0396,0.9024,0.0343,airfoil_0878,-14.132985658409387
-2.0,0.0002,0.00709,0.00146,-0.0379,0.8303,0.0727,airfoil_0878,0.028208744710860368
-1.0,0.1087,0.0067,0.0011,-0.0367,0.732,0.1927,airfoil_0878,16.223880597014926
0.0,0.2065,0.00506,0.001,-0.0339,0.6213,0.8063,airfoil_0878,40.81027667984189
1.0,0.3234,0.0054,0.00122,-0.0338,0.4924,0.9864,airfoil_0878,59.88888888888889
2.0,0.4616,0.00623,0.00144,-0.0397,0.3618,1.0,airfoil_0878,74.09309791332264
3.0,0.5639,0.00687,0.00176,-0.0375,0.2954,1.0,airfoil_0878,82.08151382823871
4.0,0.6688,0.00742,0.00219,-0.0357,0.2626,1.0,airfoil_0878,90.13477088948785
5.0,0.776,0.00803,0.00272,-0.0345,0.2292,1.0,airfoil_0878,96.63760896637608
6.0,0.8838,0.00875,0.00335,-0.0334,0.1865,1.0,airfoil_0878,101.00571428571428
7.0,0.9818,0.01082,0.00482,-0.0313,0.0665,1.0,airfoil_0878,90.73937153419594
8.0,1.0802,0.01287,0.0067,-0.029,0.0261,1.0,airfoil_0878,83.93162393162393
9.0,1.1779,0.01484,0.00882,-0.0266,0.0172,1.0,airfoil_0878,79.37331536388139
10.0,1.2685,0.01732,0.01154,-0.0233,0.013,1.0,airfoil_0878,73.23903002309468
11.0,1.3436,0.02085,0.01543,-0.0183,0.0107,1.0,airfoil_0878,64.44124700239807
12.0,1.4013,0.02478,0.01971,-0.0115,0.0092,1.0,airfoil_0878,56.549636803874094
13.0,1.4026,0.03208,0.02753,-0.0017,0.0083,1.0,airfoil_0878,43.721945137157114
14.0,1.3966,0.0439,0.03992,-0.0016,0.0078,1.0,airfoil_0878,31.813211845102504
15.0,1.3584,0.0643,0.06089,-0.0108,0.0075,1.0,airfoil_0878,21.12597200622084
-5.0,0.1446,0.01117,0.00675,-0.156,0.8617,0.0146,airfoil_0880,12.945389435989258
-4.0,0.2588,0.0088,0.00378,-0.1564,0.8296,0.0188,airfoil_0880,29.409090909090903
-3.0,0.3729,0.00769,0.00234,-0.1564,0.794,0.0263,airfoil_0880,48.491547464239275
-2.0,0.4861,0.00713,0.00154,-0.1562,0.7512,0.0422,airfoil_0880,68.17671809256662
-1.0,0.5982,0.00689,0.00122,-0.156,0.7033,0.0929,airfoil_0880,86.82148040638606
0.0,0.7088,0.00694,0.00123,-0.1556,0.6478,0.177,airfoil_0880,102.13256484149856
1.0,0.8189,0.00701,0.00147,-0.1553,0.5948,0.3465,airfoil_0880,116.8188302425107
4.0,1.142,0.00742,0.00278,-0.1528,0.4872,0.9998,airfoil_0880,153.90835579514822
5.0,1.2466,0.00822,0.00341,-0.1514,0.4309,0.9998,airfoil_0880,151.65450121654501
6.0,1.3407,0.00981,0.0045,-0.1484,0.3066,0.9998,airfoil_0880,136.66666666666669
7.0,1.3919,0.01475,0.00788,-0.1384,0.0342,0.9998,airfoil_0880,94.36610169491526
8.0,1.4658,0.01706,0.01024,-0.1318,0.0166,0.9998,airfoil_0880,85.92028135990621
9.0,1.5211,0.01982,0.01322,-0.1222,0.0119,0.9998,airfoil_0880,76.7457114026236
10.0,1.5626,0.02371,0.01741,-0.112,0.0095,0.9998,airfoil_0880,65.90468156895825
11.0,1.5695,0.03089,0.02499,-0.1001,0.008,0.9998,airfoil_0880,50.80932340563289
12.0,1.5887,0.03829,0.03278,-0.0923,0.0073,0.9998,airfoil_0880,41.49125097936798
13.0,1.6004,0.04734,0.04221,-0.0866,0.0063,0.9998,airfoil_0880,33.80650612589776
14.0,1.5891,0.05998,0.05528,-0.0822,0.0057,0.9998,airfoil_0880,26.493831277092365
15.0,1.5597,0.07609,0.07202,-0.0795,0.0054,0.9998,airfoil_0880,20.49809436193981
-5.0,0.8927,0.05155,0.04754,-0.1242,0.4039,0.0172,airfoil_0875,17.317167798254122
-4.0,0.9102,0.04768,0.0437,-0.12,0.3983,0.0172,airfoil_0875,19.08976510067114
-5.0,0.1328,0.01007,0.00373,-0.1338,0.6276,0.1802,airfoil_0883,13.187686196623634
-4.0,0.2306,0.00995,0.00359,-0.1301,0.5972,0.2011,airfoil_0883,23.175879396984925
-3.0,0.3138,0.01,0.00353,-0.1235,0.5639,0.2211,airfoil_0883,31.380000000000003
-2.0,0.4096,0.01013,0.00364,-0.1197,0.5378,0.2452,airfoil_0883,40.43435340572557
-1.0,0.5109,0.0104,0.00393,-0.1172,0.5163,0.2732,airfoil_0883,49.12500000000001
0.0,0.6119,0.0108,0.00434,-0.1149,0.4977,0.3033,airfoil_0883,56.657407407407405
1.0,0.7117,0.01128,0.00488,-0.1126,0.4809,0.3421,airfoil_0883,63.093971631205676
2.0,0.8169,0.01164,0.0054,-0.1115,0.4694,0.3899,airfoil_0883,70.18041237113403
3.0,0.9167,0.01206,0.00621,-0.1098,0.4559,0.5212,airfoil_0883,76.01160862354892
4.0,1.0117,0.01271,0.00727,-0.1075,0.4403,0.684,airfoil_0883,79.5987411487018
5.0,1.0983,0.01311,0.00844,-0.1028,0.4267,0.9592,airfoil_0883,83.77574370709382
6.0,1.194,0.01427,0.00956,-0.1013,0.4118,0.9995,airfoil_0883,83.67203924316749
7.0,1.2804,0.01586,0.0111,-0.0985,0.3952,0.9995,airfoil_0883,80.73139974779319
8.0,1.3588,0.01796,0.01313,-0.095,0.374,0.9995,airfoil_0883,75.65701559020044
9.0,1.4297,0.02062,0.01574,-0.091,0.3535,0.9995,airfoil_0883,69.33559650824442
10.0,1.4933,0.02391,0.01901,-0.0868,0.3327,0.9995,airfoil_0883,62.45503973232957
11.0,1.553,0.02766,0.02276,-0.0827,0.3116,0.9995,airfoil_0883,56.14605929139552
12.0,1.6008,0.03248,0.0276,-0.0783,0.2912,0.9995,airfoil_0883,49.285714285714285
13.0,1.6313,0.03888,0.03401,-0.0733,0.2694,0.9995,airfoil_0883,41.95730452674897
14.0,1.6594,0.04587,0.04106,-0.0692,0.2483,0.9995,airfoil_0883,36.17614998909963
-4.0,0.0013,0.0074,0.00223,-0.1157,0.9418,0.0824,airfoil_0882,0.17567567567567566
-3.0,0.1139,0.00649,0.00162,-0.1154,0.9237,0.1852,airfoil_0882,17.550077041602464
-2.0,0.2278,0.0058,0.00129,-0.1155,0.9053,0.3232,airfoil_0882,39.27586206896552
-1.0,0.3415,0.00531,0.00116,-0.1155,0.8841,0.4643,airfoil_0882,64.31261770244822
0.0,0.4546,0.00501,0.00115,-0.1151,0.8538,0.5996,airfoil_0882,90.73852295409182
1.0,0.5667,0.0049,0.00121,-0.1143,0.814,0.6942,airfoil_0882,115.65306122448979
2.0,0.6681,0.00467,0.00136,-0.1109,0.7133,0.9999,airfoil_0882,143.0620985010707
3.0,0.7603,0.00643,0.00202,-0.1065,0.4621,0.9999,airfoil_0882,118.24261275272161
4.0,0.855,0.00841,0.00299,-0.1033,0.2345,0.9999,airfoil_0882,101.66468489892983
5.0,0.9488,0.01061,0.00432,-0.0999,0.0616,0.9999,airfoil_0882,89.42507068803016
6.0,1.0494,0.01206,0.00566,-0.0974,0.0321,0.9999,airfoil_0882,87.01492537313435
7.0,1.1471,0.01369,0.0073,-0.0944,0.0192,0.9999,airfoil_0882,83.79108838568298
8.0,1.2395,0.01568,0.00943,-0.0904,0.0139,0.9999,airfoil_0882,79.04974489795919
9.0,1.3206,0.0185,0.01249,-0.0846,0.0112,0.9999,airfoil_0882,71.38378378378378
10.0,1.3944,0.02146,0.01574,-0.0778,0.0096,0.9999,airfoil_0882,64.97670083876982
11.0,1.4286,0.0269,0.02171,-0.0654,0.0086,0.9999,airfoil_0882,53.10780669144982
12.0,1.4566,0.03269,0.02809,-0.0542,0.0081,0.9999,airfoil_0882,44.55796879779749
13.0,1.4538,0.04156,0.03764,-0.0435,0.0077,0.9999,airfoil_0882,34.98075072184793
14.0,1.4204,0.05532,0.05209,-0.038,0.0073,0.9999,airfoil_0882,25.676066522053507
15.0,1.3588,0.07831,0.07577,-0.0448,0.0072,0.9999,airfoil_0882,17.351551525986462
-5.0,-0.419,0.00875,0.00315,-0.0386,0.9842,0.0579,airfoil_0884,-47.88571428571428
-4.0,-0.2865,0.00749,0.00227,-0.043,0.9728,0.141,airfoil_0884,-38.25100133511348
-3.0,-0.1738,0.00647,0.00168,-0.0427,0.95,0.2633,airfoil_0884,-26.862442040185474
-2.0,-0.0642,0.00569,0.0013,-0.0416,0.9185,0.4015,airfoil_0884,-11.282952548330403
-1.0,0.0451,0.00511,0.00108,-0.0402,0.8725,0.5492,airfoil_0884,8.825831702544031
0.0,0.1537,0.00487,0.00099,-0.0386,0.7934,0.6774,airfoil_0884,31.560574948665298
1.0,0.2591,0.00494,0.00107,-0.0363,0.6718,0.8075,airfoil_0884,52.449392712550605
2.0,0.3605,0.00536,0.00138,-0.0328,0.5308,0.9529,airfoil_0884,67.25746268656717
3.0,0.4991,0.00648,0.00182,-0.0386,0.3505,0.997,airfoil_0884,77.02160493827161
4.0,0.6023,0.00787,0.00246,-0.0371,0.1763,0.9999,airfoil_0884,76.53113087674713
5.0,0.7011,0.00918,0.00331,-0.0343,0.079,0.9999,airfoil_0884,76.37254901960783
6.0,0.8036,0.01048,0.0044,-0.0321,0.0378,0.9999,airfoil_0884,76.6793893129771
7.0,0.9051,0.01204,0.00597,-0.0297,0.0245,0.9999,airfoil_0884,75.17441860465117
8.0,1.0032,0.01397,0.00804,-0.0268,0.0196,0.9999,airfoil_0884,71.81102362204726
9.0,1.1001,0.01587,0.01013,-0.0239,0.0169,0.9999,airfoil_0884,69.3194706994329
10.0,1.1832,0.01909,0.01366,-0.0191,0.0147,0.9999,airfoil_0884,61.9800942902043
11.0,1.2621,0.0222,0.01708,-0.0141,0.0131,0.9999,airfoil_0884,56.85135135135135
12.0,1.3045,0.02744,0.0228,-0.0049,0.0118,0.9999,airfoil_0884,47.54008746355685
13.0,1.3263,0.03334,0.02924,0.0041,0.011,0.9999,airfoil_0884,39.78104379124175
14.0,1.319,0.04374,0.04024,0.0077,0.0104,0.9999,airfoil_0884,30.15546410608139
15.0,1.2771,0.06352,0.06064,-0.0008,0.0101,0.9999,airfoil_0884,20.105478589420656
-5.0,-0.0765,0.00935,0.00442,-0.1087,0.9286,0.0163,airfoil_0885,-8.181818181818182
-4.0,0.0344,0.00793,0.00276,-0.1077,0.8978,0.0241,airfoil_0885,4.337957124842371
-3.0,0.1465,0.0072,0.00182,-0.1071,0.8614,0.0372,airfoil_0885,20.34722222222222
-2.0,0.2588,0.00661,0.00119,-0.1066,0.8178,0.0836,airfoil_0885,39.15279878971255
-1.0,0.3705,0.00628,0.00096,-0.1062,0.7647,0.1883,airfoil_0885,58.996815286624205
0.0,0.481,0.00594,0.00095,-0.1058,0.7014,0.4054,airfoil_0885,80.97643097643098
1.0,0.5884,0.00497,0.00115,-0.1046,0.6388,0.9999,airfoil_0885,118.3903420523139
2.0,0.699,0.00547,0.00137,-0.104,0.5776,0.9999,airfoil_0885,127.78793418647166
3.0,0.8083,0.0061,0.00173,-0.1033,0.5128,0.9999,airfoil_0885,132.50819672131146
4.0,0.9162,0.00686,0.00224,-0.1023,0.4389,0.9999,airfoil_0885,133.55685131195335
5.0,1.0182,0.00823,0.00306,-0.1005,0.2993,0.9999,airfoil_0885,123.71810449574727
6.0,1.1017,0.01165,0.00518,-0.0961,0.0473,0.9999,airfoil_0885,94.5665236051502
7.0,1.1973,0.01352,0.00698,-0.0931,0.0182,0.9999,airfoil_0885,88.5576923076923
8.0,1.2832,0.0161,0.00976,-0.0885,0.0114,0.9999,airfoil_0885,79.70186335403726
9.0,1.364,0.01863,0.01254,-0.0832,0.0092,0.9999,airfoil_0885,73.21524422973698
10.0,1.4073,0.02322,0.01753,-0.0723,0.0078,0.9999,airfoil_0885,60.60723514211886
11.0,1.4412,0.02831,0.02309,-0.0617,0.0071,0.9999,airfoil_0885,50.90780642882374
12.0,1.4606,0.03537,0.03068,-0.0525,0.0065,0.9999,airfoil_0885,41.294882668928466
13.0,1.4633,0.0449,0.04074,-0.0463,0.006,0.9999,airfoil_0885,32.5902004454343
14.0,1.4097,0.06329,0.05989,-0.0446,0.0056,0.9999,airfoil_0885,22.273660925896667
15.0,1.3335,0.08976,0.08712,-0.0531,0.0055,0.9999,airfoil_0885,14.85628342245989
-5.0,-0.4217,0.00944,0.00372,-0.022,0.681,0.3237,airfoil_0886,-44.67161016949152
-4.0,-0.3196,0.00918,0.0034,-0.0193,0.632,0.3582,airfoil_0886,-34.81481481481481
-3.0,-0.2161,0.009,0.00316,-0.0169,0.5852,0.3893,airfoil_0886,-24.011111111111113
-2.0,-0.1119,0.00889,0.00301,-0.0147,0.5436,0.4245,airfoil_0886,-12.587176602924634
-1.0,-0.0053,0.00884,0.00295,-0.0129,0.5053,0.4587,airfoil_0886,-0.5995475113122172
0.0,0.0989,0.00884,0.00295,-0.0107,0.4676,0.4991,airfoil_0886,11.187782805429864
1.0,0.2024,0.00895,0.00306,-0.0083,0.4297,0.5416,airfoil_0886,22.614525139664806
2.0,0.3058,0.00912,0.00324,-0.006,0.3933,0.5841,airfoil_0886,33.530701754385966
3.0,0.4066,0.00938,0.00353,-0.0033,0.3601,0.6314,airfoil_0886,43.34754797441365
4.0,0.5033,0.00975,0.00392,0.0001,0.326,0.6808,airfoil_0886,51.620512820512815
5.0,0.5924,0.01016,0.00441,0.0049,0.2967,0.7308,airfoil_0886,58.30708661417323
7.0,0.7751,0.01167,0.00615,0.0127,0.2518,0.8472,airfoil_0886,66.41816623821765
8.0,0.8615,0.01269,0.00731,0.0171,0.2335,0.9036,airfoil_0886,67.88810086682427
9.0,0.9399,0.01404,0.00877,0.0226,0.2191,0.9538,airfoil_0886,66.94444444444444
10.0,1.039,0.01583,0.01058,0.0229,0.2039,0.9855,airfoil_0886,65.63487049905243
11.0,1.1616,0.01809,0.01281,0.0173,0.1863,0.9963,airfoil_0886,64.212271973466
12.0,1.2179,0.02066,0.01535,0.0228,0.1711,0.9999,airfoil_0886,58.94966118102613
13.0,1.2589,0.02407,0.01878,0.0295,0.1582,0.9999,airfoil_0886,52.301620274200246
14.0,1.3029,0.02878,0.02353,0.0333,0.146,0.9999,airfoil_0886,45.27102154273801
15.0,1.339,0.03482,0.02966,0.0358,0.1344,0.9999,airfoil_0886,38.45491097070649
-5.0,-0.1256,0.0114,0.0065,-0.0745,0.8714,0.0185,airfoil_0889,-11.017543859649122
-4.0,-0.0174,0.0097,0.0043,-0.0726,0.8057,0.0222,airfoil_0889,-1.7938144329896906
-3.0,0.0918,0.00886,0.00305,-0.071,0.7248,0.0276,airfoil_0889,10.361173814898422
-2.0,0.2008,0.0085,0.00225,-0.0696,0.6225,0.0345,airfoil_0889,23.623529411764704
-1.0,0.31,0.00855,0.0018,-0.0685,0.4996,0.0443,airfoil_0889,36.25730994152047
0.0,0.4183,0.00896,0.0017,-0.0674,0.3642,0.0731,airfoil_0889,46.68526785714286
1.0,0.528,0.00941,0.00188,-0.0668,0.2869,0.1205,airfoil_0889,56.1105207226355
2.0,0.6432,0.00769,0.00225,-0.0677,0.2665,0.9999,airfoil_0889,83.64109232769832
3.0,0.7516,0.00824,0.00263,-0.0666,0.255,0.9999,airfoil_0889,91.2135922330097
4.0,0.8614,0.00874,0.00307,-0.0658,0.2479,0.9999,airfoil_0889,98.55835240274601
5.0,0.9692,0.00947,0.00376,-0.0649,0.2401,0.9999,airfoil_0889,102.34424498416051
6.0,1.0784,0.01004,0.00439,-0.0642,0.2337,0.9999,airfoil_0889,107.41035856573706
7.0,1.1846,0.01087,0.00526,-0.0631,0.2238,0.9999,airfoil_0889,108.97884084636615
8.0,1.2913,0.01155,0.00602,-0.0622,0.211,0.9999,airfoil_0889,111.8008658008658
9.0,1.3996,0.01201,0.00658,-0.0615,0.1883,0.9999,airfoil_0889,116.53621981681931
10.0,1.4892,0.01402,0.00825,-0.0584,0.1181,0.9999,airfoil_0889,106.21968616262482
11.0,1.5455,0.01841,0.01215,-0.0507,0.0332,0.9999,airfoil_0889,83.94894079304727
12.0,1.5926,0.02194,0.01578,-0.0417,0.0172,0.9999,airfoil_0889,72.58887876025524
13.0,1.6251,0.02659,0.02073,-0.0331,0.0127,0.9999,airfoil_0889,61.116961263632945
14.0,1.6265,0.0352,0.02976,-0.027,0.0106,0.9999,airfoil_0889,46.20738636363636
15.0,1.611,0.04864,0.04369,-0.0273,0.0098,0.9999,airfoil_0889,33.12088815789473
-5.0,-0.0985,0.03877,0.03464,-0.0516,0.4901,0.0213,airfoil_0887,-2.5406241939644056
-3.0,0.0868,0.01247,0.00547,-0.0437,0.3731,0.0252,airfoil_0887,6.960705693664796
-2.0,0.1982,0.01136,0.00405,-0.0424,0.3441,0.029,airfoil_0887,17.447183098591548
-1.0,0.3099,0.01069,0.00322,-0.0413,0.3259,0.0338,airfoil_0887,28.98971000935454
0.0,0.4228,0.01038,0.00285,-0.0406,0.3122,0.0403,airfoil_0887,40.73217726396917
1.0,0.5363,0.01034,0.00274,-0.0401,0.2999,0.0498,airfoil_0887,51.866537717601545
2.0,0.6493,0.01039,0.00278,-0.0397,0.2876,0.071,airfoil_0887,62.49278152069297
3.0,0.7634,0.01046,0.00295,-0.0396,0.2786,0.1088,airfoil_0887,72.98279158699808
4.0,0.9064,0.00906,0.00356,-0.0463,0.2679,0.9999,airfoil_0887,100.04415011037527
5.0,1.0054,0.00956,0.00395,-0.0434,0.2576,0.9999,airfoil_0887,105.1673640167364
6.0,1.1072,0.01008,0.00447,-0.0411,0.2489,0.9999,airfoil_0887,109.84126984126983
7.0,1.2105,0.01077,0.00513,-0.0395,0.2382,0.9999,airfoil_0887,112.39554317548746
8.0,1.3151,0.0115,0.00588,-0.0383,0.2279,0.9999,airfoil_0887,114.35652173913043
9.0,1.4192,0.01229,0.00674,-0.0373,0.2169,0.9999,airfoil_0887,115.4759967453214
10.0,1.5196,0.01328,0.00784,-0.0358,0.2067,0.9999,airfoil_0887,114.4277108433735
11.0,1.6144,0.01452,0.00918,-0.0337,0.1961,0.9999,airfoil_0887,111.18457300275483
12.0,1.7024,0.01595,0.01073,-0.0307,0.1838,0.9999,airfoil_0887,106.73354231974922
13.0,1.7802,0.01745,0.01239,-0.0264,0.1669,0.9999,airfoil_0887,102.01719197707736
14.0,1.8418,0.01993,0.01503,-0.021,0.1506,0.9999,airfoil_0887,92.41344706472655
15.0,1.882,0.02425,0.01951,-0.0155,0.1295,0.9999,airfoil_0887,77.6082474226804
-5.0,-0.3086,0.00846,0.00292,-0.0567,0.9204,0.0748,airfoil_0890,-36.47754137115839
-4.0,-0.1984,0.00768,0.00223,-0.0555,0.8842,0.1242,airfoil_0890,-25.833333333333332
-3.0,-0.0872,0.00705,0.00174,-0.0547,0.8392,0.1985,airfoil_0890,-12.368794326241135
-2.0,0.0242,0.00658,0.00142,-0.054,0.7826,0.3021,airfoil_0890,3.6778115501519757
-1.0,0.135,0.00612,0.00124,-0.0533,0.7204,0.4542,airfoil_0890,22.058823529411768
0.0,0.2434,0.00575,0.00124,-0.0521,0.6457,0.6626,airfoil_0890,42.3304347826087
1.0,0.3503,0.00559,0.00141,-0.0502,0.5785,0.8391,airfoil_0890,62.665474060822895
2.0,0.4566,0.00586,0.00171,-0.0477,0.5174,0.9574,airfoil_0890,77.91808873720137
3.0,0.599,0.00645,0.00204,-0.0538,0.4498,0.994,airfoil_0890,92.86821705426357
4.0,0.7244,0.00708,0.00242,-0.0565,0.3803,0.9999,airfoil_0890,102.31638418079096
5.0,0.818,0.00812,0.00301,-0.0526,0.2771,0.9999,airfoil_0890,100.73891625615762
6.0,0.912,0.00952,0.00393,-0.049,0.1752,0.9999,airfoil_0890,95.7983193277311
7.0,1.0061,0.01122,0.00519,-0.0457,0.0918,0.9999,airfoil_0890,89.67023172905525
8.0,1.1013,0.01282,0.0066,-0.0426,0.0545,0.9999,airfoil_0890,85.90483619344774
9.0,1.194,0.0145,0.00825,-0.0392,0.0369,0.9999,airfoil_0890,82.34482758620689
10.0,1.28,0.01644,0.01023,-0.0348,0.0276,0.9999,airfoil_0890,77.85888077858881
11.0,1.3504,0.01882,0.01275,-0.0281,0.0221,0.9999,airfoil_0890,71.75345377258236
12.0,1.4019,0.02203,0.01616,-0.0196,0.0188,0.9999,airfoil_0890,63.63595097594189
13.0,1.4485,0.02603,0.02046,-0.0127,0.017,0.9999,airfoil_0890,55.64733000384172
14.0,1.466,0.03325,0.02798,-0.0068,0.0155,0.9999,airfoil_0890,44.09022556390977
15.0,1.4781,0.04263,0.03776,-0.0047,0.0147,0.9999,airfoil_0890,34.672765657987334
-5.0,0.1187,0.00979,0.00341,-0.1217,0.648,0.0796,airfoil_0892,12.124616956077631
-4.0,0.2273,0.00962,0.00305,-0.1199,0.5953,0.0915,airfoil_0892,23.62785862785863
-3.0,0.3354,0.00963,0.00289,-0.1182,0.5451,0.1058,airfoil_0892,34.82866043613707
-2.0,0.4415,0.00974,0.00284,-0.1162,0.4909,0.1259,airfoil_0892,45.32854209445585
-1.0,0.547,0.00997,0.00294,-0.1142,0.4442,0.1552,airfoil_0892,54.86459378134404
0.0,0.6511,0.01024,0.00319,-0.1121,0.4101,0.1977,airfoil_0892,63.58398437499999
1.0,0.7561,0.01042,0.00346,-0.1104,0.3882,0.2666,airfoil_0892,72.56238003838772
2.0,0.8531,0.00972,0.00405,-0.1077,0.3728,0.7601,airfoil_0892,87.76748971193416
3.0,0.9612,0.00989,0.00468,-0.1062,0.3631,0.9997,airfoil_0892,97.18907987866532
4.0,1.0523,0.01062,0.00531,-0.102,0.3532,0.9997,airfoil_0892,99.08662900188325
5.0,1.1502,0.01132,0.00599,-0.0995,0.3458,0.9997,airfoil_0892,101.6077738515901
6.0,1.242,0.01236,0.00697,-0.0962,0.3358,0.9997,airfoil_0892,100.48543689320388
7.0,1.3384,0.01325,0.00791,-0.094,0.3291,0.9997,airfoil_0892,101.01132075471699
